Current (A),Measured Voltage (V)
0.0,-8.78103654e-05
1.5151515151515152e-07,-8.81476261e-05
3.0303030303030305e-07,-8.87467788e-05
4.5454545454545457e-07,-8.85878122e-05
6.060606060606061e-07,-8.84071669e-05
7.575757575757576e-07,-8.83044194e-05
9.090909090909091e-07,-8.79273281e-05
1.0606060606060606e-06,-8.81856933e-05
1.2121212121212122e-06,-8.88603926e-05
1.3636363636363638e-06,-8.94865683e-05
1.5151515151515152e-06,-8.86024373e-05
1.6666666666666667e-06,-8.83710951e-05
1.8181818181818183e-06,-8.85880442e-05
1.96969696969697e-06,-8.7963222e-05
2.121212121212121e-06,-8.85458083e-05
2.2727272727272728e-06,-8.87846681e-05
2.4242424242424244e-06,-8.82259338e-05
2.575757575757576e-06,-8.83645752e-05
2.7272727272727276e-06,-8.8915792e-05
2.878787878787879e-06,-8.98470931e-05
3.0303030303030305e-06,-8.79857205e-05
3.181818181818182e-06,-8.83188126e-05
3.3333333333333333e-06,-8.80488153e-05
3.484848484848485e-06,-8.97295426e-05
3.6363636363636366e-06,-8.93214917e-05
3.7878787878787882e-06,-8.8460625e-05
3.93939393939394e-06,-8.83872516e-05
4.0909090909090915e-06,-8.91404365e-05
4.242424242424242e-06,-8.82050208e-05
4.393939393939394e-06,-9.03042555e-05
4.5454545454545455e-06,-8.85965053e-05
4.696969696969697e-06,-8.89858165e-05
4.848484848484849e-06,-8.97841763e-05
5e-06,-8.93976261e-05
5.151515151515152e-06,-8.959466e-05
5.303030303030304e-06,-8.91017815e-05
5.454545454545455e-06,-8.87108848e-05
5.606060606060606e-06,-8.92071122e-05
5.757575757575758e-06,-8.90284081e-05
5.909090909090909e-06,-8.94644797e-05
6.060606060606061e-06,-8.91564152e-05
6.212121212121213e-06,-8.94721751e-05
6.363636363636364e-06,-8.94191269e-05
6.515151515151516e-06,-9.00159284e-05
6.666666666666667e-06,-8.89051576e-05
6.818181818181818e-06,-8.86793375e-05
6.96969696969697e-06,-8.913609e-05
7.1212121212121215e-06,-8.99766856e-05
7.272727272727273e-06,-8.89747722e-05
7.424242424242425e-06,-8.88140422e-05
7.5757575757575764e-06,-8.8874198e-05
